Ename,Age,NumCompaniesWorked,Previous company experience,Job role in previous company,Number of years experience in prevoius company,Reason for leaving,Salary in previous company,Present expectation Y/N,Expectation of hike in %,Promotion Y/N,New designation after promotion,Attrition,BusinessTravel,Department,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager
William Petty,60,2,Yes,Junior Sales Executive,8,Lack of flexible work options,2702.5,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,4,732,1,Male,3,2,Sales Executive,1,Single,5405,No,3,0,10,2,2
Stephen Simpson,27,3,Yes,Manufacturing Director,1,Lack of flexible work options,4396.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,2,733,4,Male,3,3,Manufacturing Director,1,Divorced,8793,No,4,2,9,9,7
Douglas Harris,41,4,Yes,Manager,1,Lack of appreciation or recognition,9594.5,Yes,0.5,Yes,Manager,No,Travel_Rarely,Human Resources,3,734,4,Male,2,5,Manager,3,Married,19189,No,3,1,22,22,10
Brian Ray,50,1,Yes,Sales Representative,7,Lack of flexible work options,1937.5,Yes,0.15,Yes,Sales Representative,No,Travel_Rarely,Sales,4,738,4,Male,3,1,Sales Representative,2,Married,3875,No,3,1,4,2,2
Tara Welch,28,2,Yes,Research Scientist,7,Lack of flexible work options,1108,Yes,0.35,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,2,741,1,Female,1,1,Research Scientist,2,Single,2216,Yes,3,0,10,7,7
Jessica Nunez,36,3,Yes,Research Director,9,Lack of flexible work options,5856.5,Yes,0.35,Yes,Research Director,No,Non-Travel,Research & Development,3,742,1,Female,4,3,Research Director,1,Married,11713,No,3,1,10,8,5
Kristy Brown,38,2,Yes,Manufacturing Director,4,Lack of flexible work options,3930.5,Yes,0.15,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,743,3,Female,3,3,Manufacturing Director,3,Single,7861,Yes,3,0,10,1,0
John Ellison,44,3,Yes,Laboratory Technician,2,Lack of flexible work options,1854,Yes,0.15,Yes,Laboratory Technician,No,Non-Travel,Research & Development,3,744,1,Male,1,1,Laboratory Technician,3,Single,3708,No,3,0,9,5,4
Anna Hester,47,4,Yes,Junior Sales Executive,9,Lack of opportunities for carrier growth and development,6885,Yes,0.5,Yes,Sales Executive,No,Travel_Frequently,Sales,3,746,4,Female,3,4,Sales Executive,3,Divorced,13770,Yes,3,2,28,22,13
Hector Rivas,30,2,Yes,Junior Sales Executive,7,Lack of flexible work options,2652,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,5,747,3,Male,3,2,Sales Executive,4,Divorced,5304,No,4,1,10,8,7
Scott Bailey,29,1,Yes,Sales Representative,1,Lack of flexible work options,1321,Yes,0.15,Yes,Sales Representative,No,Travel_Rarely,Sales,3,749,3,Male,3,1,Sales Representative,3,Single,2642,No,3,0,1,1,0
Brian Rush,42,1,Yes,Research Scientist,6,Lack of flexible work options,1379.5,Yes,0.15,Yes,Research Scientist,Yes,Travel_Frequently,Research & Development,3,752,3,Male,4,1,Research Scientist,3,Divorced,2759,Yes,3,0,7,2,2
Harry Villarreal,43,1,Yes,Junior Sales Executive,3,Lack of flexible work options,3402,Yes,0.15,Yes,Sales Executive,No,Travel_Frequently,Sales,3,754,4,Male,2,2,Sales Executive,4,Married,6804,No,3,1,7,2,2
Erin Lyons,34,3,Yes,Healthcare Representative,3,Lack of flexible work options,3071,Yes,0.15,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,2,757,2,Female,3,2,Healthcare Representative,3,Single,6142,No,3,0,10,5,3
Andrew Andrews,23,1,No,Laboratory Technician,1,No previous experience,1250,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,1,758,2,Male,3,1,Laboratory Technician,1,Married,2500,No,3,1,5,4,2
Karen Mcdonald,39,2,Yes,Human Resources,9,Lack of flexible work options,3194.5,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,3,760,3,Female,4,2,Human Resources,2,Married,6389,No,3,1,12,8,6
David Schmidt,56,4,Yes,Healthcare Representative,7,for a higher pay,5551.5,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,762,3,Male,3,4,Healthcare Representative,4,Married,11103,No,3,0,30,10,1
Kirsten Liu,40,1,Yes,Research Scientist,0,Lack of flexible work options,1171,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,1,763,4,Female,2,1,Research Scientist,4,Single,2342,Yes,4,0,5,4,3
Kimberly Martin,27,3,Yes,Healthcare Representative,8,Lack of flexible work options,3405.5,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,764,4,Female,2,2,Healthcare Representative,1,Single,6811,No,3,0,9,7,7
Christopher Mills,29,1,Yes,Sales Representative,1,Lack of flexible work options,1148.5,No,0,No,Sales Representative,No,Travel_Rarely,Sales,3,766,4,Male,3,1,Sales Representative,2,Divorced,2297,No,3,2,2,2,2
Craig Gillespie,53,4,Yes,Laboratory Technician,2,Lack of flexible work options,1225,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,769,4,Male,3,2,Laboratory Technician,4,Single,2450,No,3,0,19,2,2
Christine Nguyen,35,3,Yes,Healthcare Representative,2,Lack of flexible work options,2546.5,No,0,No,Healthcare Representative,No,Non-Travel,Research & Development,4,771,4,Female,3,2,Healthcare Representative,1,Divorced,5093,No,3,1,16,1,0
Daniel Cantrell,32,2,Yes,Laboratory Technician,1,for a higher pay,2654.5,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,4,772,1,Male,3,2,Laboratory Technician,4,Married,5309,No,3,2,10,10,7
Timothy Walker,38,1,Yes,Research Scientist,6,Lack of flexible work options,1528.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,5,773,4,Male,3,1,Research Scientist,3,Married,3057,Yes,3,1,6,1,1
Alyssa Clarke,34,1,Yes,Manufacturing Director,3,Lack of flexible work options,2560.5,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,5,775,2,Female,3,2,Manufacturing Director,1,Divorced,5121,No,3,1,7,5,0
Lee Spencer,52,4,Yes,Manager,1,Lack of opportunities for carrier growth and development,8428,No,0,No,Manager,No,Travel_Rarely,Sales,4,776,3,Male,2,4,Manager,1,Married,16856,No,3,0,34,34,16
Jordan Brown,33,3,Yes,Research Scientist,1,for a higher pay,1343,No,0,No,Research Scientist,Yes,Travel_Rarely,Research & Development,4,780,4,Male,3,1,Research Scientist,4,Single,2686,Yes,3,0,10,10,8
Amanda Christensen,25,1,No,Junior Sales Executive,1,No previous experience,3090,No,0,No,Sales Executive,No,Travel_Rarely,Sales,1,781,3,Female,3,2,Sales Executive,4,Single,6180,No,4,0,6,6,4
Michael Thomas,45,2,Yes,Sales Representative,0,Lack of flexible work options,3316,No,0,No,Sales Representative,No,Travel_Rarely,Sales,2,783,2,Male,1,2,Sales Representative,3,Single,6632,No,3,0,9,8,1
Daniel Campbell,23,1,No,Research Scientist,1,No previous experience,1752.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,1,784,1,Male,4,1,Research Scientist,3,Single,3505,No,3,0,2,2,2
Amy Munoz,47,1,Yes,Junior Sales Executive,4,Lack of flexible work options,3198.5,No,0,No,Sales Executive,Yes,Travel_Frequently,Sales,2,785,2,Female,4,2,Sales Executive,3,Single,6397,Yes,3,0,8,5,3
Anthony Williams,34,1,Yes,Junior Sales Executive,1,Lack of flexible work options,3137,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,786,4,Male,3,2,Sales Executive,4,Single,6274,No,4,0,6,6,4
James Rodriguez,55,4,Yes,Manager,5,Lack of flexible work options,9929.5,No,0,No,Manager,Yes,Travel_Rarely,Research & Development,3,787,4,Male,3,5,Manager,1,Married,19859,Yes,3,1,24,5,4
Peter Murray,36,3,Yes,Junior Sales Executive,1,for a higher pay,3793.5,No,0,No,Sales Executive,No,Non-Travel,Sales,4,789,1,Male,2,3,Sales Executive,1,Single,7587,No,3,0,10,10,9
James Wright,52,1,Yes,Research Scientist,0,Lack of flexible work options,2129,No,0,No,Research Scientist,No,Non-Travel,Research & Development,4,791,4,Male,3,1,Research Scientist,4,Married,4258,No,3,1,5,4,2
Shelia Watson,26,1,Yes,Laboratory Technician,3,Lack of flexible work options,2182,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,2,792,1,Female,1,1,Laboratory Technician,4,Divorced,4364,No,3,1,5,2,0
Tracy Jackson,29,2,Yes,Healthcare Representative,4,Lack of flexible work options,2167.5,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,793,2,Female,3,2,Healthcare Representative,3,Married,4335,No,3,1,11,8,1
Kevin Pineda,26,1,Yes,Junior Sales Executive,6,Lack of flexible work options,2663,No,0,No,Sales Executive,Yes,Travel_Rarely,Sales,3,796,4,Male,2,2,Sales Executive,1,Single,5326,No,3,0,6,4,2
Gina Parks,34,3,Yes,Research Scientist,2,Lack of flexible work options,1640,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,4,797,2,Female,4,1,Research Scientist,4,Single,3280,No,3,0,10,4,3
Crystal Thomas,54,2,Yes,Manufacturing Director,9,Lack of flexible work options,2742.5,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,4,799,4,Female,3,2,Manufacturing Director,1,Divorced,5485,Yes,3,2,9,5,4
Matthew Gonzalez,27,1,Yes,Junior Sales Executive,0,Lack of flexible work options,2171,No,0,No,Sales Executive,No,Travel_Frequently,Sales,1,800,3,Male,3,2,Sales Executive,4,Married,4342,No,3,1,5,4,1
Kara Williams,37,1,Yes,Research Scientist,0,Lack of flexible work options,1391,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,1,802,4,Female,3,1,Research Scientist,1,Divorced,2782,Yes,3,2,6,5,3
Katherine Nelson,38,4,Yes,Manufacturing Director,6,for a higher pay,2990,No,0,No,Manufacturing Director,No,Travel_Frequently,Research & Development,4,803,1,Female,4,2,Manufacturing Director,1,Single,5980,Yes,3,0,17,15,12
Meredith Rowe,34,1,Yes,Research Scientist,1,Lack of flexible work options,2190.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,4,804,3,Female,2,1,Research Scientist,1,Single,4381,No,3,0,6,6,3
Danielle Gutierrez,35,1,Yes,Sales Representative,1,Lack of flexible work options,1286,No,0,No,Sales Representative,No,Travel_Rarely,Sales,4,805,1,Female,3,1,Sales Representative,4,Married,2572,No,3,1,3,3,2
Matthew Fischer,30,1,Yes,Laboratory Technician,3,Lack of flexible work options,1916.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,806,4,Male,1,1,Laboratory Technician,3,Married,3833,No,4,2,7,2,2
Shannon Miller,40,1,Yes,Healthcare Representative,1,Lack of flexible work options,2122,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,2,807,3,Female,4,2,Healthcare Representative,2,Married,4244,No,4,1,8,8,7
Kelly Cruz,34,1,Yes,Junior Sales Executive,5,Lack of flexible work options,3250,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,808,3,Female,3,2,Sales Executive,1,Married,6500,No,3,1,6,3,2
Aaron Herrera,42,4,Yes,Manager,1,Lack of appreciation or recognition,9215,No,0,No,Manager,No,Travel_Frequently,Research & Development,3,809,2,Male,3,5,Manager,4,Divorced,18430,No,3,1,24,24,9
Joshua Guzman,23,1,No,Laboratory Technician,1,No previous experience,800.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,811,3,Male,4,1,Laboratory Technician,1,Married,1601,Yes,4,2,1,5,0
Samuel Williams,24,1,No,Laboratory Technician,1,No previous experience,1347,No,0,No,Laboratory Technician,No,Non-Travel,Research & Development,3,812,3,Male,2,1,Laboratory Technician,2,Divorced,2694,No,3,3,1,1,0
Jodi Williamson,52,3,Yes,Laboratory Technician,8,Lack of flexible work options,1574.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,813,4,Female,3,2,Laboratory Technician,3,Married,3149,No,4,1,9,5,4
Aaron Fry,50,4,Yes,Research Director,5,Lack of flexible work options,8819.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,3,815,3,Male,3,4,Research Director,3,Married,17639,No,3,0,30,4,3
Elizabeth Nelson,29,1,Yes,Laboratory Technician,1,Lack of flexible work options,1159.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,2,816,2,Female,2,1,Laboratory Technician,1,Married,2319,Yes,3,1,1,1,0
David Walker,33,2,Yes,Research Director,0,for a higher pay,5845.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,3,817,3,Male,3,3,Research Director,3,Married,11691,No,3,0,14,13,7
Brandi Nelson,33,1,Yes,Junior Sales Executive,5,Lack of flexible work options,2662,No,0,No,Sales Executive,Yes,Travel_Rarely,Sales,3,819,1,Female,3,2,Sales Executive,1,Single,5324,No,3,0,6,3,2
Brianna Williams,47,4,Yes,Manager,1,Lack of opportunities for carrier growth and development,8376,No,0,No,Manager,No,Travel_Rarely,Research & Development,2,820,3,Female,3,4,Manager,4,Married,16752,Yes,3,1,26,26,0
Lisa Turner,36,3,Yes,Manufacturing Director,0,Lack of flexible work options,2614,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,823,3,Female,3,2,Manufacturing Director,2,Married,5228,No,3,1,10,9,5
Edgar Myers,29,2,Yes,Research Scientist,1,for a higher pay,1350,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,2,824,3,Male,4,1,Research Scientist,3,Married,2700,No,4,1,10,10,7
Jay Flores,58,4,Yes,Research Director,7,Lack of opportunities for carrier growth and development,9623,No,0,No,Research Director,Yes,Travel_Rarely,Research & Development,4,825,4,Male,3,5,Research Director,2,Single,19246,Yes,3,0,40,31,8
Kathryn King,35,1,Yes,Research Scientist,3,Lack of flexible work options,1253,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,4,826,4,Female,4,1,Research Scientist,3,Single,2506,No,3,0,7,2,2
Amanda Turner,42,1,Yes,Manufacturing Director,9,Lack of flexible work options,3031,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,2,827,4,Female,2,2,Manufacturing Director,4,Married,6062,Yes,3,1,8,4,2
Zachary Parker,28,1,Yes,Research Scientist,6,Lack of flexible work options,2191,No,0,No,Research Scientist,Yes,Travel_Rarely,Research & Development,4,828,3,Male,3,1,Research Scientist,3,Single,4382,No,3,0,5,2,1
Sean Williams,36,1,Yes,Human Resources,4,Lack of flexible work options,1071.5,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,3,829,3,Male,3,1,Human Resources,2,Married,2143,No,3,1,8,5,4
Annette Avila,32,3,Yes,Manufacturing Director,1,for a higher pay,3081,Yes,0.3,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,830,3,Female,2,2,Manufacturing Director,3,Married,6162,No,3,1,14,14,8
Donald Moore,40,2,Yes,Laboratory Technician,6,Lack of flexible work options,2547,Yes,0.15,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,4,832,1,Male,2,2,Laboratory Technician,3,Single,5094,No,3,0,10,1,0
Brianna Walker,30,3,Yes,Manufacturing Director,5,Lack of flexible work options,3438.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,833,3,Female,2,2,Manufacturing Director,4,Single,6877,Yes,4,0,12,5,0
Heather Brown,45,1,Yes,Research Scientist,1,Lack of flexible work options,1137,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,834,2,Female,2,1,Research Scientist,3,Single,2274,No,3,0,1,1,0
Matthew Rosario,42,2,Yes,Manufacturing Director,1,Lack of flexible work options,2217,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,836,2,Male,3,2,Manufacturing Director,2,Married,4434,No,3,1,10,9,8
Jeremy Robinson,38,3,Yes,Healthcare Representative,2,Lack of flexible work options,3144,Yes,0.35,Yes,Healthcare Representative,No,Travel_Frequently,Research & Development,3,837,1,Male,2,2,Healthcare Representative,1,Divorced,6288,No,3,1,13,4,2
Melissa Hubbard,34,1,Yes,Research Scientist,1,Lack of flexible work options,1276.5,Yes,0.15,Yes,Research Scientist,No,Travel_Frequently,Research & Development,4,838,3,Female,2,1,Research Scientist,4,Single,2553,No,3,0,6,5,3
Alyssa Patrick,49,2,Yes,Junior Sales Executive,1,Lack of flexible work options,3827,Yes,0.35,Yes,Sales Executive,Yes,Travel_Rarely,Sales,3,840,3,Female,3,3,Sales Executive,4,Married,7654,No,3,2,9,9,7
Joseph Perez,55,3,Yes,Junior Sales Executive,4,Lack of flexible work options,2580,Yes,0.35,Yes,Sales Executive,Yes,Travel_Rarely,Sales,1,842,3,Male,3,2,Sales Executive,4,Single,5160,No,3,0,12,9,3
Jeffrey Edwards,43,4,Yes,Research Director,6,Lack of flexible work options,8579.5,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,2,843,2,Male,3,4,Research Director,1,Married,17159,No,4,1,22,4,0
Kyle Lane,27,2,Yes,Research Director,1,Lack of flexible work options,6404,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,1,844,3,Male,2,3,Research Director,4,Divorced,12808,Yes,3,1,9,9,8
Joshua Morris,35,4,Yes,Manufacturing Director,3,Lack of flexible work options,5110.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,845,3,Male,3,3,Manufacturing Director,3,Single,10221,No,4,0,17,8,6
Tamara Callahan,28,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2389.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,4,846,2,Female,3,2,Sales Executive,2,Married,4779,Yes,4,0,8,8,5
Miguel Bell,34,1,Yes,Human Resources,0,Lack of flexible work options,1868.5,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,2,847,3,Male,3,1,Human Resources,4,Married,3737,No,3,1,4,3,2
Jessica Bailey,26,1,Yes,Research Scientist,1,Lack of flexible work options,1183,Yes,0.35,Yes,Research Scientist,Yes,Travel_Frequently,Research & Development,2,848,3,Female,2,1,Research Scientist,3,Married,2366,Yes,3,1,8,8,7
Benjamin Harris,27,0,Yes,Research Scientist,1,Lack of flexible work options,853,Yes,0.35,Yes,Research Scientist,No,Non-Travel,Research & Development,3,850,4,Male,3,1,Research Scientist,4,Married,1706,No,3,3,0,5,0
Alison Lopez,51,4,Yes,Manager,2,Lack of opportunities for carrier growth and development,8153.5,Yes,0.5,Yes,Manager,No,Travel_Rarely,Sales,4,851,1,Female,3,4,Manager,3,Married,16307,No,3,1,29,20,17
Aaron Copeland,44,3,Yes,Healthcare Representative,9,Lack of flexible work options,2966.5,Yes,0.15,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,3,852,4,Male,3,2,Healthcare Representative,2,Single,5933,No,3,0,10,5,3
Timothy Carroll,25,1,No,Research Scientist,7,No previous experience,1712,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,854,1,Male,4,1,Research Scientist,1,Single,3424,No,3,0,6,4,1
Gregory Molina,33,2,Yes,Junior Sales Executive,1,Lack of flexible work options,2018.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,855,1,Male,4,2,Sales Executive,1,Divorced,4037,No,4,1,9,9,8
Kristy Miller,35,1,Yes,Research Scientist,1,Lack of flexible work options,1279.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,856,3,Female,2,1,Research Scientist,1,Single,2559,No,3,0,6,6,1
Richard Harris,36,4,Yes,Junior Sales Executive,1,Lack of flexible work options,3100.5,Yes,0.5,Yes,Sales Executive,No,Travel_Rarely,Sales,2,857,2,Male,3,2,Sales Executive,4,Married,6201,Yes,3,1,18,18,11
Zachary Blair,32,1,Yes,Junior Sales Executive,2,Lack of flexible work options,2201.5,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,4,859,2,Male,3,2,Sales Executive,4,Divorced,4403,No,3,1,8,5,3
Matthew Martinez,30,3,Yes,Research Scientist,9,Lack of flexible work options,1880.5,Yes,0.15,Yes,Research Scientist,No,Travel_Frequently,Research & Development,4,861,2,Male,2,1,Research Scientist,4,Divorced,3761,No,3,1,10,5,3
Nicole Chaney,53,4,Yes,Junior Sales Executive,7,Lack of flexible work options,5467,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,2,862,1,Female,2,3,Sales Executive,4,Married,10934,Yes,3,1,35,5,4
Antonio Johnson,45,4,Yes,Junior Sales Executive,4,Lack of flexible work options,5380.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,864,4,Male,3,3,Sales Executive,1,Divorced,10761,Yes,3,1,18,5,2
Jennifer Johnson,32,2,Yes,Research Scientist,5,Lack of flexible work options,2587.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,865,3,Female,4,2,Research Scientist,3,Married,5175,No,3,1,9,5,3
Caitlin Snyder,52,4,Yes,Manufacturing Director,3,Lack of flexible work options,6913,Yes,0.35,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,4,867,3,Female,2,4,Manufacturing Director,4,Married,13826,No,4,0,31,9,0
Stephen Marks,37,3,Yes,Junior Sales Executive,4,Lack of flexible work options,3167,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,4,868,4,Male,2,2,Sales Executive,3,Divorced,6334,No,3,2,9,1,0
Corey Ewing,28,1,Yes,Human Resources,1,Lack of flexible work options,2468,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,2,869,2,Male,2,1,Human Resources,4,Divorced,4936,No,3,1,6,5,4
Peter Green,22,1,No,Manufacturing Director,6,No previous experience,2387.5,Yes,0.15,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,2,872,4,Male,2,2,Manufacturing Director,4,Married,4775,No,4,2,4,2,2
John Kaiser,44,2,Yes,Laboratory Technician,2,Lack of flexible work options,1409,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,874,1,Male,4,1,Laboratory Technician,4,Married,2818,Yes,4,1,10,3,2
James Wang,42,1,Yes,Research Scientist,5,Lack of flexible work options,1257.5,Yes,0.15,Yes,Research Scientist,No,Travel_Frequently,Research & Development,1,875,2,Male,3,1,Research Scientist,4,Single,2515,Yes,3,0,8,2,2
Robert Miller,36,1,Yes,Human Resources,0,Lack of flexible work options,1171,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,3,878,1,Male,2,1,Human Resources,1,Married,2342,No,4,0,6,5,3
Dustin Collins,25,1,No,Junior Sales Executive,1,No previous experience,2097,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,1,879,3,Male,3,2,Sales Executive,1,Married,4194,Yes,3,0,5,5,3
Tracy Wright,35,4,Yes,Manufacturing Director,1,Lack of flexible work options,5342.5,Yes,0.5,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,880,4,Female,2,3,Manufacturing Director,3,Married,10685,Yes,4,1,17,17,15
Robin Haynes,35,3,Yes,Research Scientist,1,for a higher pay,1011,Yes,0.35,Yes,Research Scientist,Yes,Travel_Frequently,Research & Development,4,881,4,Female,3,1,Research Scientist,2,Divorced,2022,Yes,3,1,10,10,8
Robert Jackson,32,1,Yes,Laboratory Technician,0,Lack of flexible work options,1157,Yes,0.15,Yes,Laboratory Technician,No,Non-Travel,Research & Development,3,882,4,Male,3,1,Laboratory Technician,4,Divorced,2314,No,3,1,4,3,2
James Bond,25,1,No,Junior Sales Executive,1,No previous experience,2128,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,1,885,3,Male,2,2,Sales Executive,1,Married,4256,No,3,0,5,5,3
Brenda Gutierrez,49,1,Yes,Research Scientist,2,Lack of flexible work options,1790,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,887,3,Female,3,1,Research Scientist,1,Married,3580,No,3,1,7,4,2
Adam Davis,24,1,No,Laboratory Technician,0,No previous experience,1581,Yes,0.15,Yes,Laboratory Technician,No,Non-Travel,Research & Development,1,888,1,Male,2,1,Laboratory Technician,4,Married,3162,No,3,0,6,5,4
Leonard Davis,32,2,Yes,Junior Sales Executive,1,for a higher pay,3262,Yes,0.35,Yes,Sales Executive,No,Travel_Frequently,Sales,2,889,2,Male,3,2,Sales Executive,2,Married,6524,No,3,1,10,10,3
Edward Chen,38,1,Yes,Sales Representative,0,Lack of flexible work options,1449.5,Yes,0.15,Yes,Sales Representative,No,Travel_Rarely,Sales,3,893,2,Male,2,1,Sales Representative,2,Married,2899,No,3,1,3,2,2
Christina Hanson,42,4,Yes,Laboratory Technician,2,Lack of flexible work options,2615.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,894,3,Female,4,2,Laboratory Technician,4,Married,5231,Yes,3,1,17,5,3
Craig Logan,31,1,Yes,Research Scientist,3,Lack of flexible work options,1178,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,895,4,Male,3,1,Research Scientist,4,Married,2356,Yes,3,1,8,6,2
Deanna Patterson,29,1,Yes,Sales Representative,6,Lack of flexible work options,1400,Yes,0.15,Yes,Sales Representative,Yes,Travel_Rarely,Sales,3,896,2,Female,2,1,Sales Representative,3,Divorced,2800,Yes,3,3,5,3,2
Andrew Williams,53,4,Yes,Junior Sales Executive,5,Lack of flexible work options,5918,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,897,1,Male,3,4,Sales Executive,4,Married,11836,No,3,1,28,2,2
Douglas Mendoza,35,4,Yes,Manufacturing Director,3,for a higher pay,5451.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,899,4,Male,2,3,Manufacturing Director,2,Married,10903,No,3,0,16,13,8
Amy Carter,37,3,Yes,Sales Representative,5,Lack of flexible work options,1486.5,Yes,0.15,Yes,Sales Representative,No,Travel_Frequently,Sales,2,900,3,Female,3,1,Sales Representative,4,Married,2973,No,3,1,10,5,0
Nicole Maldonado,53,4,Yes,Research Director,6,for a higher pay,7137.5,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,4,901,4,Female,3,4,Research Director,4,Single,14275,No,3,0,33,12,8
Amber Bowman,43,2,Yes,Healthcare Representative,4,Lack of flexible work options,2781,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,3,902,4,Female,3,2,Healthcare Representative,4,Married,5562,No,3,1,12,5,2
Sarah Johnson,47,1,Yes,Junior Sales Executive,0,Lack of flexible work options,2268.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,903,3,Female,3,2,Sales Executive,4,Married,4537,Yes,4,1,8,7,7
Kyle Miller,37,3,Yes,Junior Sales Executive,1,for a higher pay,3821,No,0,No,Sales Executive,No,Non-Travel,Sales,2,904,1,Male,3,3,Sales Executive,2,Single,7642,Yes,3,0,10,10,9
Nicholas Campbell,50,4,Yes,Manager,1,Lack of opportunities for carrier growth and development,8962,No,0,No,Manager,No,Non-Travel,Research & Development,4,905,1,Male,3,4,Manager,1,Divorced,17924,No,3,1,31,31,7
Susan Taylor,39,2,Yes,Human Resources,8,Lack of flexible work options,2602,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,3,909,4,Female,2,2,Human Resources,4,Married,5204,No,3,2,13,5,4
Kenneth Molina,33,1,Yes,Human Resources,3,Lack of flexible work options,1138.5,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,2,910,4,Male,3,1,Human Resources,2,Divorced,2277,Yes,3,1,7,4,3
